Session ID,Session Type,Track Name,Race Car,Track Weather,Lap Number,Sector 1 Time,Sector 2 Time,Sector 3 Time,Total Lap Time,Valid Lap
16dd26c6-124f-4d71-afe9-88233a354b94,Time Trial,Melbourne,Red Bull Racing,Clear,2,0.000,0.000,85.878,85.878,True
16dd26c6-124f-4d71-afe9-88233a354b94,Time Trial,Melbourne,Red Bull Racing,Clear,3,0.000,0.000,86.769,86.769,True
16dd26c6-124f-4d71-afe9-88233a354b94,Time Trial,Melbourne,Red Bull Racing,Clear,4,0.000,0.000,83.269,83.269,True
63350968-d4ed-4e60-9b33-7e91b252c8d6,Time Trial,Austria,McLaren,Clear,2,0.000,0.000,0.000,0.000,True
63350968-d4ed-4e60-9b33-7e91b252c8d6,Time Trial,Austria,McLaren,Clear,3,0.000,0.000,0.000,0.000,True
ca6d3baa-427b-40d9-8523-d86cc7f82280,Time Trial,Austria,Alpine,Clear,1,0.0,0.0,0.0,0.0,True
2993c1e5-a3b0-46f2-b2ab-9b40f1736b41,Time Trial,Austria,Alpine,Clear,1,0.0,0.0,0.0,0.0,True
2993c1e5-a3b0-46f2-b2ab-9b40f1736b41,Time Trial,Austria,Alpine,Clear,2,18.955,30.311,0.0,0.0,True
f8bb58a1-6b69-4d42-a954-8acdd9847261,Time Trial,Austria,Alpine,Clear,2,18.955,30.311,21.606,70.872,True
f8bb58a1-6b69-4d42-a954-8acdd9847261,Time Trial,Austria,Alpine,Clear,3,17.5,31.949,21.844,71.293,False
